Incident Description,Full Address,City,State,Country,category,Crime Date and Time,Attribute,Disposition,Location,Case number,Body Value,Field Log Category Value,Field Log Disposition Value,Field Log Location Value
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,1/19/2016 14:00,13,Closed,1000 SOUTH LIMESTONE ST,20160136,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,1000 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,740 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,1/20/2016 16:00,13,Closed,740 SOUTH LIMESTONE ST,20160152,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,740 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500,447 PENNSYLVANIA AVE  ,Lexington,Kentucky,United States of America,Theft,1/22/2016 7:00,13,Closed CSA,447 PENNSYLVANIA AVE,CSA20160084,TBUT OR DISP FROM BUILDING U/$500,Theft,Closed CSA,447 PENNSYLVANIA AVE
TBUT OR DISP FROM BUILDING U/$500/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,1/22/2016 13:00,13,Closed,800 ROSE ST,20160204,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,800 ROSE ST
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,1/23/2016 17:30,13,Open,310 SOUTH LIMESTONE ST,20160158,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Open,310 SOUTH LIMESTONE ST
TBUT OR DISP BICYCLES U/$500/M,344 SOUTH MARTIN LUTHER KING BLVD  ,Lexington,Kentucky,United States of America,Theft,1/24/2016 20:00,13,Closed,344 SOUTH MARTIN LUTHER KING BLVD,20160172,TBUT OR DISP BICYCLES U/$500/M,Theft,Closed,344 SOUTH MARTIN LUTHER KING BLVD
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",703 SPORTS CENTER DR  ,Lexington,Kentucky,United States of America,Theft,1/25/2016 3:00,13,Closed,703 SPORTS CENTER DR,20160173,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Closed,703 SPORTS CENTER DR
"TBUT OR DISP FROM BUILDING U/$500/M, CRIMINAL MISCHIEF 3RD/M",740 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,1/25/2016 13:00,13,Closed,740 SOUTH LIMESTONE ST,20160254,"TBUT OR DISP FROM BUILDING U/$500/M, CRIMINAL MISCHIEF 3RD/M",Theft,Closed,740 SOUTH LIMESTONE ST
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,1/25/2016 16:30,13,Open,800 ROSE ST,20160176,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Open,800 ROSE ST
TBUT OR DISP FROM BUILDING U/$500/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,1/26/2016 7:26,13,Open,800 ROSE ST,20160177,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Open,800 ROSE ST
"TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000/F",110 TRANSCRIPT AVE  ,Lexington,Kentucky,United States of America,Theft,1/27/2016 11:50,13,Closed,110 TRANSCRIPT AVE,20160188,"TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000/F",Theft,Closed,110 TRANSCRIPT AVE
TBUT OR DISP FROM BUILDING $500/M,135 EAST MAXWELL ST  ,Lexington,Kentucky,United States of America,Theft,1/28/2016 21:00,13,Open,135 EAST MAXWELL ST,20160237,TBUT OR DISP FROM BUILDING $500/M,Theft,Open,135 EAST MAXWELL ST
"TBUT OR DISP SHOPLIFTING $500 OR MORE BUT U/$10,000/F, DRUG PARAPHERNALIA - BUY/POSSESS/M",334 LEXINGTON AVE  ,Lexington,Kentucky,United States of America,Theft,1/29/2016 10:18,13,Cleared By Arrest,334 LEXINGTON AVE,20160209,"TBUT OR DISP SHOPLIFTING $500 OR MORE BUT U/$10,000/F, DRUG PARAPHERNALIA - BUY/POSSESS/M",Theft,Cleared By Arrest,334 LEXINGTON AVE
TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,110 TRANSCRIPT AVE  ,Lexington,Kentucky,United States of America,Theft,1/31/2016 18:00,13,Open,110 TRANSCRIPT AVE,20160231,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,Theft,Open,110 TRANSCRIPT AVE
"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000",310 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,2/2/2016 13:00,14,Closed Cleared By Exception,310 SOUTH LIMESTONE STREET,20160765,"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000",Theft,Closed Cleared By Exception,310 SOUTH LIMESTONE STREET
THEFT OF MOTOR VEHICLE REGISTRATION PLATE/DECAL/F,110 TRANSCRIPT AVE  ,Lexington,Kentucky,United States of America,Theft,2/2/2016 22:00,14,Open,110 TRANSCRIPT AVE,20160297,THEFT OF MOTOR VEHICLE REGISTRATION PLATE/DECAL/F,Theft,Open,110 TRANSCRIPT AVE
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,2/3/2016 4:30,14,Open,1000 SOUTH LIMESTONE ST,20160242,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Open,1000 SOUTH LIMESTONE ST
TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,PATTERSON DR  ,Lexington,Kentucky,United States of America,Theft,2/3/2016 14:00,14,Closed,PATTERSON DR,20160246,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,Theft,Closed,PATTERSON DR
TBUT OR DISP FROM BUILDING U/$500/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,2/3/2016 14:45,14,Closed,310 SOUTH LIMESTONE ST,20160249,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,310 SOUTH LIMESTONE ST
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,401 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Theft,2/3/2016 16:00,14,Closed,401 HILLTOP AVE,20160245,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,Theft,Closed,401 HILLTOP AVE
"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000/F",1000 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,2/5/2016 1:01,14,Closed,1000 SOUTH LIMESTONE STREET,20160556,"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000/F",Theft,Closed,1000 SOUTH LIMESTONE STREET
THEFT,"12 HERON WAY, PINELANDS, CAPE TOWN, RSA  ",Lexington,Kentucky,United States of America,Theft,2/6/2016 20:00,14,Closed CSA,"12 HERON WAY, PINELANDS, CAPE TOWN, RSA",CSA20160153,THEFT,Theft,Closed CSA,"12 HERON WAY, PINELANDS, CAPE TOWN, RSA"
TBUT OR DISP FROM BUILDING U/$500/M,842 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,2/8/2016 23:00,14,Closed,842 ROSE ST,20160283,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,842 ROSE ST
TBUT OR DISP FROM BUILDING U/$500/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,2/9/2016 5:00,14,Closed,800 ROSE ST,20160317,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,800 ROSE ST
TBUT OR DISP POCKETPICKING U/$500/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,2/10/2016 11:40,14,Open,310 SOUTH LIMESTONE ST,20160291,TBUT OR DISP POCKETPICKING U/$500/M,Theft,Open,310 SOUTH LIMESTONE ST
TBUT OR DISP ALL OTHERS U/$500/M,301 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Theft,2/10/2016 12:00,14,Open,301 HILLTOP AVE,20160413,TBUT OR DISP ALL OTHERS U/$500/M,Theft,Open,301 HILLTOP AVE
"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000/F",800 ROSE STREET  ,Lexington,Kentucky,United States of America,Theft,2/11/2016 1:28,14,Closed,800 ROSE STREET,20160555,"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000/F",Theft,Closed,800 ROSE STREET
TBUT OR DISP FROM BUILDING U/$500/M,310 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,2/11/2016 19:45,14,Open,310 SOUTH LIMESTONE ST,20160303,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Open,310 SOUTH LIMESTONE ST
"TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000/F",310 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Theft,2/12/2016 3:30,14,Open,310 HILLTOP AVE,20160309,"TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000/F",Theft,Open,310 HILLTOP AVE
TBUT OR DISP SHOPLIFTING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,2/12/2016 20:50,14,Closed,1000 SOUTH LIMESTONE ST,20160316,TBUT OR DISP SHOPLIFTING U/$500/M,Theft,Closed,1000 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,2/13/2016 18:00,14,Closed,800 ROSE ST,20160338,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,800 ROSE ST
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,2/14/2016 8:30,14,Open,1000 SOUTH LIMESTONE ST,20160327,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Open,1000 SOUTH LIMESTONE ST
THEFT OF INDENTITY OF ANOTHER W/O CONSENT/F,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,2/14/2016 21:49,14,Closed,1000 SOUTH LIMESTONE ST,20160433,THEFT OF INDENTITY OF ANOTHER W/O CONSENT/F,Theft,Closed,1000 SOUTH LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,2/15/2016 1:30,14,Closed,800 ROSE ST,20160341,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,800 ROSE ST
"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000/F",310 SOUTH  LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,2/15/2016 18:42,14,Closed,310 SOUTH  LIMESTONE ST,20160339,"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000/F",Theft,Closed,310 SOUTH  LIMESTONE ST
TBUT OR DISP FROM BUILDING U/$500/M,800 ROSE ST  ,Lexington,Kentucky,United States of America,Theft,2/15/2016 20:30,14,Closed,800 ROSE ST,20160357,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,800 ROSE ST
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE ST  ,Lexington,Kentucky,United States of America,Theft,2/22/2016 13:00,14,Closed,1000 SOUTH LIMESTONE ST,20160417,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,1000 SOUTH LIMESTONE ST
TBUT OR DISP ALL OTHERS U/$500/M,125 SOUTH MARTIN LUTHER KING BLVD  ,Lexington,Kentucky,United States of America,Theft,2/24/2016 21:00,14,Closed,125 SOUTH MARTIN LUTHER KING BLVD,20160422,TBUT OR DISP ALL OTHERS U/$500/M,Theft,Closed,125 SOUTH MARTIN LUTHER KING BLVD
TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,SPORTS CENTER DR  ,Lexington,Kentucky,United States of America,Theft,2/24/2016 21:00,14,Closed,SPORTS CENTER DR,20160432,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,Theft,Closed,SPORTS CENTER DR
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",401 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Theft,2/25/2016 2:45,14,Closed,401 HILLTOP AVE,20160428,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Closed,401 HILLTOP AVE
TBUT OR DISP ALL OTHERS U/$500/M,401 HILLTOP AVE  ,Lexington,Kentucky,United States of America,Theft,2/27/2016 23:10,14,Closed,401 HILLTOP AVE,20160439,TBUT OR DISP ALL OTHERS U/$500/M,Theft,Closed,401 HILLTOP AVE
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",201 AVE OF CHAMPIONS  ,Lexington,Kentucky,United States of America,Theft,2/28/2016 15:30,14,Open,201 AVE OF CHAMPIONS,20160447,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",Theft,Open,201 AVE OF CHAMPIONS
THEFT OF PROP MISLAID OR DELIVER BY MISTAKE,310 S. LIMESTONE  ,Lexington,Kentucky,United States of America,Theft,2/28/2016 23:15,14,Open,310 S. LIMESTONE,20160454,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE,Theft,Open,310 S. LIMESTONE
"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000",1000 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,3/1/2016 13:00,15,Closed,1000 SOUTH LIMESTONE STREET,20160817,"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000",Theft,Closed,1000 SOUTH LIMESTONE STREET
"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000",1000 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,3/1/2016 13:00,15,Closed CSA,1000 SOUTH LIMESTONE STREET,20160818,"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000",Theft,Closed CSA,1000 SOUTH LIMESTONE STREET
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F, TBUT OR DISP FROM BUILDING U/$500/M",405 ROSE STREET  ,Lexington,Kentucky,United States of America,Theft,3/1/2016 18:18,15,Open,405 ROSE STREET,20160461,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F, TBUT OR DISP FROM BUILDING U/$500/M",Theft,Open,405 ROSE STREET
"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",401 HILLTOP AVENUE  ,Lexington,Kentucky,United States of America,Theft,3/2/2016 16:20,15,Open,401 HILLTOP AVENUE,20160476,"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",Theft,Open,401 HILLTOP AVENUE
"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000",310 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,3/6/2016 22:00,15,Unfounded,310 SOUTH LIMESTONE STREET,20160553,"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000",Theft,Unfounded,310 SOUTH LIMESTONE STREET
"TBUT OR DISP FROM BUILDING $10,000 OR MORE BUT U/$1,000,000/F",800 ROSE STREET  ,Lexington,Kentucky,United States of America,Theft,3/7/2016 16:00,15,Open,800 ROSE STREET,20160529,"TBUT OR DISP FROM BUILDING $10,000 OR MORE BUT U/$1,000,000/F",Theft,Open,800 ROSE STREET
TBUT OR DISP FROM BUILDING U/$500/M,140 PATTERSON DRIVE  ,Lexington,Kentucky,United States of America,Theft,3/7/2016 19:50,15,Open,140 PATTERSON DRIVE,20160510,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Open,140 PATTERSON DRIVE
THEFT OF MAIL MATTER/F,447 PENNSYLVANIA STREET  ,Lexington,Kentucky,United States of America,Theft,3/9/2016 23:45,15,Closed CSA,447 PENNSYLVANIA STREET,CSA20160263,THEFT OF MAIL MATTER/F,Theft,Closed CSA,447 PENNSYLVANIA STREET
"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F, CRIMINAL MISCHIEF 3RD DEGREE/M",685 SPORTS CENTER DRIVE  ,Lexington,Kentucky,United States of America,Theft,3/10/2016 1:30,15,Open,685 SPORTS CENTER DRIVE,20160528,"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F, CRIMINAL MISCHIEF 3RD DEGREE/M",Theft,Open,685 SPORTS CENTER DRIVE
TBUT OR DISP FROM BUILDING U/$500,220 AVENUE OF CHAMPIONS  ,Lexington,Kentucky,United States of America,Theft,3/10/2016 17:20,15,Open,220 AVENUE OF CHAMPIONS,20160537,TBUT OR DISP FROM BUILDING U/$500,Theft,Open,220 AVENUE OF CHAMPIONS
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",310 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,3/10/2016 19:30,15,Closed,310 SOUTH LIMESTONE STREET,20160532,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",Theft,Closed,310 SOUTH LIMESTONE STREET
"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F, CRIMINAL MISCHIEF 3RD DEGREE/M",401 HILLTOP AVENUE  ,Lexington,Kentucky,United States of America,Theft,3/11/2016 2:30,15,Closed,401 HILLTOP AVENUE,20160547,"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000/F, CRIMINAL MISCHIEF 3RD DEGREE/M",Theft,Closed,401 HILLTOP AVENUE
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",1000 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,3/11/2016 16:00,15,Open,1000 SOUTH LIMESTONE STREET,20160577,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",Theft,Open,1000 SOUTH LIMESTONE STREET
"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000",720 WOODLAND AVENUE  ,Lexington,Kentucky,United States of America,Theft,3/12/2016 17:00,15,Open,720 WOODLAND AVENUE,20160569,"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000",Theft,Open,720 WOODLAND AVENUE
THEFT OF MAIL MATTER,447 PENNSYLVANIA AVENUE  ,Lexington,Kentucky,United States of America,Theft,3/12/2016 17:30,15,Open,447 PENNSYLVANIA AVENUE,20160698,THEFT OF MAIL MATTER,Theft,Open,447 PENNSYLVANIA AVENUE
TBUT OR DISP FROM BUILDING U/$500/M,1000 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,3/14/2016 19:30,15,Closed,1000 SOUTH LIMESTONE STREET,20160554,TBUT OR DISP FROM BUILDING U/$500/M,Theft,Closed,1000 SOUTH LIMESTONE STREET
TBUT OR DISP FROM BUIDLING U/$500,740 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,3/15/2016 14:00,15,Open,740 SOUTH LIMESTONE STREET,20160564,TBUT OR DISP FROM BUIDLING U/$500,Theft,Open,740 SOUTH LIMESTONE STREET
"THEFT OF PROPERTY LOST/MISLAID/DELIVERED BY MISTAKE $10,000 OR MORE/F",1000 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,3/16/2016 2:00,15,Open,1000 SOUTH LIMESTONE STREET,20160562,"THEFT OF PROPERTY LOST/MISLAID/DELIVERED BY MISTAKE $10,000 OR MORE/F",Theft,Open,1000 SOUTH LIMESTONE STREET
TBUT OR DISP FROM BUILDING U/$500,310 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,3/16/2016 15:00,15,Closed,310 SOUTH LIMESTONE STREET,20160566,TBUT OR DISP FROM BUILDING U/$500,Theft,Closed,310 SOUTH LIMESTONE STREET
TBUT OR DISP FROM BUILDING U/$500,310 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,3/16/2016 16:00,15,Closed,310 SOUTH LIMESTONE STREET,20160568,TBUT OR DISP FROM BUILDING U/$500,Theft,Closed,310 SOUTH LIMESTONE STREET
TBUT OR DISP FROM BUILDING U/$500,1000 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,3/17/2016 22:40,15,Closed,1000 SOUTH LIMESTONE STREET,20160580,TBUT OR DISP FROM BUILDING U/$500,Theft,Closed,1000 SOUTH LIMESTONE STREET
"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000, ASSAULT, 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY",800 ROSE STREET  ,Lexington,Kentucky,United States of America,Theft,3/20/2016 22:00,15,Open,800 ROSE STREET,20160610,"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000, ASSAULT, 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY",Theft,Open,800 ROSE STREET
TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500,SOUTH LIMESTONE STREET/ADMINISTRATIVE DRIVE  ,Lexington,Kentucky,United States of America,Theft,3/21/2016 12:30,15,Open,SOUTH LIMESTONE STREET/ADMINISTRATIVE DRIVE,20160617,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500,Theft,Open,SOUTH LIMESTONE STREET/ADMINISTRATIVE DRIVE
TBUT OR DISP FROM BUILDING U/$500,505 ROSE STREET  ,Lexington,Kentucky,United States of America,Theft,3/21/2016 12:50,15,Open,505 ROSE STREET,20160614,TBUT OR DISP FROM BUILDING U/$500,Theft,Open,505 ROSE STREET
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",310 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,3/22/2016 19:00,15,Closed,310 SOUTH LIMESTONE STREET,20160692,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",Theft,Closed,310 SOUTH LIMESTONE STREET
"THEFT OF PROP MISLAID OR DELIVER BY MISTAKE, FRAUD USE OF CRED CARD AFTER REPORT LOST/STOLEN U/$500 W/6 MO",Euclid Avenue  ,Lexington,Kentucky,United States of America,Theft,3/23/2016 1:30,15,Open,Euclid Avenue,20160638,"THEFT OF PROP MISLAID OR DELIVER BY MISTAKE, FRAUD USE OF CRED CARD AFTER REPORT LOST/STOLEN U/$500 W/6 MO",Theft,Open,Euclid Avenue
TBUT OR DISP FROM BUILDING U/$500,1000 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,3/23/2016 7:00,15,Open,1000 SOUTH LIMESTONE STREET,20160641,TBUT OR DISP FROM BUILDING U/$500,Theft,Open,1000 SOUTH LIMESTONE STREET
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",1000 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,3/24/2016 7:00,15,Closed,1000 SOUTH LIMESTONE STREET,20160650,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",Theft,Closed,1000 SOUTH LIMESTONE STREET
TBUT OR DISP FROM BUILDING U/$500,800 ROSE STREET  ,Lexington,Kentucky,United States of America,Theft,3/24/2016 11:00,15,Open,800 ROSE STREET,20160718,TBUT OR DISP FROM BUILDING U/$500,Theft,Open,800 ROSE STREET
TBUT OR DISP BICYCLES U/$500,PATTERSON DRIVE  ,Lexington,Kentucky,United States of America,Theft,3/24/2016 17:30,15,Closed,PATTERSON DRIVE,20160699,TBUT OR DISP BICYCLES U/$500,Theft,Closed,PATTERSON DRIVE
TBUT OR DISP BICYCLES U/$500,550 LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,3/25/2016 15:00,15,Open,550 LIMESTONE STREET,20160664,TBUT OR DISP BICYCLES U/$500,Theft,Open,550 LIMESTONE STREET
TBUT OR DISP FROM BUILDING U/$500,1000 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,3/26/2016 12:00,15,Open,1000 SOUTH LIMESTONE STREET,20160705,TBUT OR DISP FROM BUILDING U/$500,Theft,Open,1000 SOUTH LIMESTONE STREET
"TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000; CRIMINAL MISCHIEF 2ND DEGREE",PRESS AVENUE/GAZETTE AVENUE  UK E LOT  ,Lexington,Kentucky,United States of America,Theft,3/29/2016 10:45,15,Closed,PRESS AVENUE/GAZETTE AVENUE  UK E LOT,20160708,"TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000; CRIMINAL MISCHIEF 2ND DEGREE",Theft,Closed,PRESS AVENUE/GAZETTE AVENUE  UK E LOT
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",135 GRAHAM AVENUE  ,Lexington,Kentucky,United States of America,Theft,3/29/2016 22:30,15,Open,135 GRAHAM AVENUE,20160707,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",Theft,Open,135 GRAHAM AVENUE
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",430 COMPLEX DRIVE  ,Lexington,Kentucky,United States of America,Theft,3/30/2016 1:00,15,Open,430 COMPLEX DRIVE,20160714,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",Theft,Open,430 COMPLEX DRIVE
"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000",685 SPORTS CENTER DRIVE  ,Lexington,Kentucky,United States of America,Theft,3/30/2016 20:00,15,Closed,685 SPORTS CENTER DRIVE,20160724,"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000",Theft,Closed,685 SPORTS CENTER DRIVE
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",1000 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,3/31/2016 12:00,15,Open,1000 SOUTH LIMESTONE STREET,20160726,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",Theft,Open,1000 SOUTH LIMESTONE STREET
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",140 PATTERSON DRIVE  ,Lexington,Kentucky,United States of America,Theft,3/31/2016 13:50,15,Open,140 PATTERSON DRIVE,20160735,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",Theft,Open,140 PATTERSON DRIVE
TBUT OR DISP FROM BUILDING U/$500; FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD,1608 UNIVERSITY COURT  ,Lexington,Kentucky,United States of America,Theft,3/31/2016 17:30,15,Open,1608 UNIVERSITY COURT,20160723,TBUT OR DISP FROM BUILDING U/$500; FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD,Theft,Open,1608 UNIVERSITY COURT
"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000",334 LEXINGTON AVENUE  ,Lexington,Kentucky,United States of America,Theft,4/1/2016 4:39,16,Open,334 LEXINGTON AVENUE,20160729,"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000",Theft,Open,334 LEXINGTON AVENUE
TBUT OR DISP FROM BUILDING U/$500,800 ROSE STREET  ,Lexington,Kentucky,United States of America,Theft,4/1/2016 5:00,16,Open,800 ROSE STREET,20160731,TBUT OR DISP FROM BUILDING U/$500,Theft,Open,800 ROSE STREET
TBUT OR DISP FROM BUILDING U/$500,800 ROSE STREET  ,Lexington,Kentucky,United States of America,Theft,4/2/2016 17:00,16,Closed,800 ROSE STREET,20160741,TBUT OR DISP FROM BUILDING U/$500,Theft,Closed,800 ROSE STREET
