Category,Case Number,Crime Date and Time,Report Date,Country,State,City,Location,Incident Description,Residential Occurance,Disposition
Theft,20132840,10/11/2013 - 5:00pm,10/14/2013,United States,Kentucky,Lexington,1540 UNIVERSITY DR,TBUT OR DISP BICYCLES U/$500/M,No,Closed
Theft,20132843,09/08/2013 - 10:00am,10/14/2013,United States,Kentucky,Lexington,120 PATTERSON DR,THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M,No,Closed
Theft,20132850,10/14/2013 - 5:28pm,10/14/2013,United States,Kentucky,Lexington,120 PATTERSON DR,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed
Theft,20132851,10/12/2013 - 3:00pm,10/14/2013,United States,Kentucky,Lexington,1540 UNIVERSITY DR,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",No,Closed
Theft,20132852,10/14/2013 - 12:00pm,10/14/2013,United States,Kentucky,Lexington,610 SOUTH LIMESTONE ST,"THEFT OF PROP MISLAID OR DELIVER BY MISTAKE/M, FRAUD USE CRED CARD U/$500 W/6 MONTH PERIOD/M",No,Closed
Theft,20132853,10/07/2013 - 8:00am,10/14/2013,United States,Kentucky,Lexington,800 ROSE ST,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed
Theft,20132835,10/12/2013 - 3:00pm,10/13/2013,United States,Kentucky,Lexington,1540 UNIVERSITY DR,"TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000/F",No,Closed
Theft,20132822,10/12/2013 - 8:15pm,10/12/2013,United States,Kentucky,Lexington,1540 UNIVERSITY DR,TBUT OR DISP POCKETPICKING U/$500/M X2,No,Closed
Theft,20132823,10/12/2013 - 6:30pm,10/12/2013,United States,Kentucky,Lexington,110 TRANSCRIPT AVE,"TBUT OR DISP CONTENTS FROM VEHICLE $500 OR MORE BUT U/$10,000/F",No,Open
Theft,20132826,10/12/2013 - 10:10pm,10/12/2013,United States,Kentucky,Lexington,1540 UNIVERSITY DR,TBUT OR DISP CONTENTS FROM AUTO/F,No,Open
Theft,20132800,10/10/2013 - 6:00am,10/11/2013,United States,Kentucky,Lexington,180 AVENUE OF CHAMPIONS,TBUT OR DISP FROM BUILDING U/$500/M,No,Closed
Theft,20132804,10/10/2013 - 8:00am,10/11/2013,United States,Kentucky,Lexington,800 ROSE ST,"CRIMINAL MISCHIEF 3RD/M, TBUT OR DISP BUILDING/M",No,Open
Theft,20132784,10/10/2013 - 9:00am,10/10/2013,United States,Kentucky,Lexington,401 HILLTOP AVE,TBUT OR DISP FROM BUILDING/M,No,Open
Theft,20132785,10/09/2013 - 4:00pm,10/10/2013,United States,Kentucky,Lexington,620 SOUTH LIMESTONE ST,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000/F",No,Closed
Theft,20132788,10/10/2013 - 10:00am,10/10/2013,United States,Kentucky,Lexington,110 TRANSCRIPT AVE,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500/M,No,Closed
Theft,20132789,10/04/2013 - 6:00pm,10/10/2013,United States,Kentucky,Lexington,251 SCOTT ST,"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000/F",No,Open
